;sequence;code_div_1;label_div_1;score_div_1;code_div_2;label_div_2;score_div_2;code_div_3;label_div_3;score_div_3;code_gr_1;label_gr_1;score_gr_1;code_gr_2;label_gr_2;score_gr_2;code_gr_3;label_gr_3;score_gr_3;code_gr_4;label_gr_4;score_gr_4;code_gr_5;label_gr_5;score_gr_5
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);RDF30;"Medical, health and life sciences (includes Basic medicine and life sciences; Clinical medicine; Health sciences; Medical biotechnology; Other medical sciences)";0.30380427837371826;RDF20-21;"Engineering and technology (includes Chemical engineering; Civil engineering, maritime engineering, transport engineering, and mining engineering; Electrical engineering, computer engineering, and information engineering; Environmental biotechnology; Environmental engineering and related engineering; Industrial biotechnology; Industrial, systems and processes engineering; Materials engineering and resources engineering; Mechanical engineering; Medical and biomedical engineering; Nano-technology; Other engineering and technologies)";0.2876361012458801;RDF10;"Natural sciences (includes Biological sciences; Chemical sciences; Computer and information sciences; Earth and related environmental sciences; Mathematics and statistics; Other natural sciences; Physical sciences)";0.2639497220516205;RDF508;"Media and communications (includes Communication and media studies; Film, television and digital media; Journalism and professional writing; Other media and communication)";0.9984452128410339;RDF102;"Computer and information sciences (includes Artificial intelligence (AI); Bioinformatics; Computing systems; Human-centered computing; Information Systems; Library science and information studies; Other computer and information sciences; Programming languages and software engineering; Theoretical computer science and computational mathematics)";0.9983190894126892;RDF604;"Arts (arts, history of arts, performing arts, music), architecture and design (includes Architecture; Art history and theory; Creative writing; Curatorial and related studies; Design practice and management; Music; Other Arts; Performing arts; Visual arts and media arts)";0.9982281923294067;RDF103;"Physical sciences (includes Astronomical and space sciences; Atomic, molecular, and optical physics; Classical physics; Condensed matter physics; Other physical sciences; Quantum physics; Subatomic physics)";0.9957104325294495;RDF105;"Earth and related environmental sciences (includes Atmospheric sciences; Cryosphere processes; Environmental geoscience; Geochemistry; Geology; Geomatics and earth systems observations; Geophysics; Hydrology; Natural environment sciences; Oceanography; Other earth and related environmental sciences; Soil sciences)";0.9952030181884766
11;Tenrikyo and the Rise and Fall of New Religions in Japan (Philosophy, medieval studies, classics, religious);RDF20-21;"Engineering and technology (includes Chemical engineering; Civil engineering, maritime engineering, transport engineering, and mining engineering; Electrical engineering, computer engineering, and information engineering; Environmental biotechnology; Environmental engineering and related engineering; Industrial biotechnology; Industrial, systems and processes engineering; Materials engineering and resources engineering; Mechanical engineering; Medical and biomedical engineering; Nano-technology; Other engineering and technologies)";0.22133822739124298;RDF10;"Natural sciences (includes Biological sciences; Chemical sciences; Computer and information sciences; Earth and related environmental sciences; Mathematics and statistics; Other natural sciences; Physical sciences)";0.22004511952400208;RDF50;"Social sciences (includes Economics and business administration; Education; Law and legal practice; Media and communications; Other social sciences; Political science and policy administration; Psychology and cognitive sciences; Social and economic geography; Sociology and related studies)";0.19647817313671112;RDF601;"History, archaeology and related studies (includes Archaeology; Historical studies; Other studies related to history and archaeology; Religion and religious studies)";0.9992445707321167;RDF604;"Arts (arts, history of arts, performing arts, music), architecture and design (includes Architecture; Art history and theory; Creative writing; Curatorial and related studies; Design practice and management; Music; Other Arts; Performing arts; Visual arts and media arts)";0.9985978603363037;RDF508;"Media and communications (includes Communication and media studies; Film, television and digital media; Journalism and professional writing; Other media and communication)";0.9977872371673584;RDF201;"Civil engineering, maritime engineering, transport engineering, and mining engineering (includes Civil engineering; Land transportation systems engineering; Marine engineering; Mining engineering)";0.9963071346282959;RDF105;"Earth and related environmental sciences (includes Atmospheric sciences; Cryosphere processes; Environmental geoscience; Geochemistry; Geology; Geomatics and earth systems observations; Geophysics; Hydrology; Natural environment sciences; Oceanography; Other earth and related environmental sciences; Soil sciences)";0.9959771037101746
12;Systems biology of size control in eukaryotes (Genes, Cells and Molecules);RDF20-21;"Engineering and technology (includes Chemical engineering; Civil engineering, maritime engineering, transport engineering, and mining engineering; Electrical engineering, computer engineering, and information engineering; Environmental biotechnology; Environmental engineering and related engineering; Industrial biotechnology; Industrial, systems and processes engineering; Materials engineering and resources engineering; Mechanical engineering; Medical and biomedical engineering; Nano-technology; Other engineering and technologies)";0.2827315032482147;RDF10;"Natural sciences (includes Biological sciences; Chemical sciences; Computer and information sciences; Earth and related environmental sciences; Mathematics and statistics; Other natural sciences; Physical sciences)";0.2783481776714325;RDF50;"Social sciences (includes Economics and business administration; Education; Law and legal practice; Media and communications; Other social sciences; Political science and policy administration; Psychology and cognitive sciences; Social and economic geography; Sociology and related studies)";0.16427288949489594;RDF604;"Arts (arts, history of arts, performing arts, music), architecture and design (includes Architecture; Art history and theory; Creative writing; Curatorial and related studies; Design practice and management; Music; Other Arts; Performing arts; Visual arts and media arts)";0.9987910389900208;RDF201;"Civil engineering, maritime engineering, transport engineering, and mining engineering (includes Civil engineering; Land transportation systems engineering; Marine engineering; Mining engineering)";0.996851921081543;RDF202;"Industrial, systems and processes engineering (includes Biosystems and agricultural engineering; Human factor engineering; Operational research; Other industrial, systems and processes engineering; Systems engineering)";0.9968087673187256;RDF302;"Clinical medicine (includes Cardiorespiratory medicine and hematology; Clinical sciences; Complementary and alternative medicine; Dentistry and oral health; Other clinical medicine; Pediatrics and reproductive medicine)";0.9941800832748413;RDF102;"Computer and information sciences (includes Artificial intelligence (AI); Bioinformatics; Computing systems; Human-centered computing; Information Systems; Library science and information studies; Other computer and information sciences; Programming languages and software engineering; Theoretical computer science and computational mathematics)";0.9931095242500305
13;Drop-based microfluidics (DBM) for single cell studies and ultrahigh-throughput phenotypic screens and lab evolution (Genes, Cells and Molecules);RDF20-21;"Engineering and technology (includes Chemical engineering; Civil engineering, maritime engineering, transport engineering, and mining engineering; Electrical engineering, computer engineering, and information engineering; Environmental biotechnology; Environmental engineering and related engineering; Industrial biotechnology; Industrial, systems and processes engineering; Materials engineering and resources engineering; Mechanical engineering; Medical and biomedical engineering; Nano-technology; Other engineering and technologies)";0.386836439371109;RDF10;"Natural sciences (includes Biological sciences; Chemical sciences; Computer and information sciences; Earth and related environmental sciences; Mathematics and statistics; Other natural sciences; Physical sciences)";0.2178448736667633;RDF50;"Social sciences (includes Economics and business administration; Education; Law and legal practice; Media and communications; Other social sciences; Political science and policy administration; Psychology and cognitive sciences; Social and economic geography; Sociology and related studies)";0.13008111715316772;RDF604;"Arts (arts, history of arts, performing arts, music), architecture and design (includes Architecture; Art history and theory; Creative writing; Curatorial and related studies; Design practice and management; Music; Other Arts; Performing arts; Visual arts and media arts)";0.9941118955612183;RDF302;"Clinical medicine (includes Cardiorespiratory medicine and hematology; Clinical sciences; Complementary and alternative medicine; Dentistry and oral health; Other clinical medicine; Pediatrics and reproductive medicine)";0.9903290271759033;RDF201;"Civil engineering, maritime engineering, transport engineering, and mining engineering (includes Civil engineering; Land transportation systems engineering; Marine engineering; Mining engineering)";0.9884918332099915;RDF303;"Health sciences (includes Care; Health services and systems; Human nutrition and dietetics; Nursing; Other health sciences; Public and population health; Rehabilitation medicine)";0.9871664047241211;RDF102;"Computer and information sciences (includes Artificial intelligence (AI); Bioinformatics; Computing systems; Human-centered computing; Information Systems; Library science and information studies; Other computer and information sciences; Programming languages and software engineering; Theoretical computer science and computational mathematics)";0.9861113429069519
14;Neural repair in glaucoma: the role of insulin signaling (Cell Biology – Disease);RDF20-21;"Engineering and technology (includes Chemical engineering; Civil engineering, maritime engineering, transport engineering, and mining engineering; Electrical engineering, computer engineering, and information engineering; Environmental biotechnology; Environmental engineering and related engineering; Industrial biotechnology; Industrial, systems and processes engineering; Materials engineering and resources engineering; Mechanical engineering; Medical and biomedical engineering; Nano-technology; Other engineering and technologies)";0.29255977272987366;RDF10;"Natural sciences (includes Biological sciences; Chemical sciences; Computer and information sciences; Earth and related environmental sciences; Mathematics and statistics; Other natural sciences; Physical sciences)";0.2468416690826416;RDF30;"Medical, health and life sciences (includes Basic medicine and life sciences; Clinical medicine; Health sciences; Medical biotechnology; Other medical sciences)";0.24636003375053406;RDF604;"Arts (arts, history of arts, performing arts, music), architecture and design (includes Architecture; Art history and theory; Creative writing; Curatorial and related studies; Design practice and management; Music; Other Arts; Performing arts; Visual arts and media arts)";0.998510479927063;RDF201;"Civil engineering, maritime engineering, transport engineering, and mining engineering (includes Civil engineering; Land transportation systems engineering; Marine engineering; Mining engineering)";0.9982926249504089;RDF102;"Computer and information sciences (includes Artificial intelligence (AI); Bioinformatics; Computing systems; Human-centered computing; Information Systems; Library science and information studies; Other computer and information sciences; Programming languages and software engineering; Theoretical computer science and computational mathematics)";0.9976449608802795;RDF508;"Media and communications (includes Communication and media studies; Film, television and digital media; Journalism and professional writing; Other media and communication)";0.9974491000175476;RDF203;"Electrical engineering, computer engineering, and information engineering (includes Communications and networks technologies; Computer engineering; Data analytics and signal processing; Electrical energy systems; Electromagnetics, photonics and optics; Electronics; Systems control and automation)";0.9973060488700867
15;Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes;RDF10;"Natural sciences (includes Biological sciences; Chemical sciences; Computer and information sciences; Earth and related environmental sciences; Mathematics and statistics; Other natural sciences; Physical sciences)";0.2606313228607178;RDF20-21;"Engineering and technology (includes Chemical engineering; Civil engineering, maritime engineering, transport engineering, and mining engineering; Electrical engineering, computer engineering, and information engineering; Environmental biotechnology; Environmental engineering and related engineering; Industrial biotechnology; Industrial, systems and processes engineering; Materials engineering and resources engineering; Mechanical engineering; Medical and biomedical engineering; Nano-technology; Other engineering and technologies)";0.23916871845722198;RDF40;"Agricultural and veterinary sciences (includes Agricultural biotechnology and food sciences; Agriculture, forestry, and fisheries; Animal and dairy sciences; Other agricultural sciences; Veterinary sciences)";0.2127210646867752;RDF508;"Media and communications (includes Communication and media studies; Film, television and digital media; Journalism and professional writing; Other media and communication)";0.9995121359825134;RDF203;"Electrical engineering, computer engineering, and information engineering (includes Communications and networks technologies; Computer engineering; Data analytics and signal processing; Electrical energy systems; Electromagnetics, photonics and optics; Electronics; Systems control and automation)";0.9994069337844849;RDF604;"Arts (arts, history of arts, performing arts, music), architecture and design (includes Architecture; Art history and theory; Creative writing; Curatorial and related studies; Design practice and management; Music; Other Arts; Performing arts; Visual arts and media arts)";0.9993857741355896;RDF102;"Computer and information sciences (includes Artificial intelligence (AI); Bioinformatics; Computing systems; Human-centered computing; Information Systems; Library science and information studies; Other computer and information sciences; Programming languages and software engineering; Theoretical computer science and computational mathematics)";0.9993188381195068;RDF103;"Physical sciences (includes Astronomical and space sciences; Atomic, molecular, and optical physics; Classical physics; Condensed matter physics; Other physical sciences; Quantum physics; Subatomic physics)";0.9989677667617798
16;Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse (Education and social work);RDF20-21;"Engineering and technology (includes Chemical engineering; Civil engineering, maritime engineering, transport engineering, and mining engineering; Electrical engineering, computer engineering, and information engineering; Environmental biotechnology; Environmental engineering and related engineering; Industrial biotechnology; Industrial, systems and processes engineering; Materials engineering and resources engineering; Mechanical engineering; Medical and biomedical engineering; Nano-technology; Other engineering and technologies)";0.34327495098114014;RDF10;"Natural sciences (includes Biological sciences; Chemical sciences; Computer and information sciences; Earth and related environmental sciences; Mathematics and statistics; Other natural sciences; Physical sciences)";0.22600631415843964;RDF40;"Agricultural and veterinary sciences (includes Agricultural biotechnology and food sciences; Agriculture, forestry, and fisheries; Animal and dairy sciences; Other agricultural sciences; Veterinary sciences)";0.15855011343955994;RDF604;"Arts (arts, history of arts, performing arts, music), architecture and design (includes Architecture; Art history and theory; Creative writing; Curatorial and related studies; Design practice and management; Music; Other Arts; Performing arts; Visual arts and media arts)";0.9984811544418335;RDF102;"Computer and information sciences (includes Artificial intelligence (AI); Bioinformatics; Computing systems; Human-centered computing; Information Systems; Library science and information studies; Other computer and information sciences; Programming languages and software engineering; Theoretical computer science and computational mathematics)";0.9965704083442688;RDF105;"Earth and related environmental sciences (includes Atmospheric sciences; Cryosphere processes; Environmental geoscience; Geochemistry; Geology; Geomatics and earth systems observations; Geophysics; Hydrology; Natural environment sciences; Oceanography; Other earth and related environmental sciences; Soil sciences)";0.994168758392334;RDF201;"Civil engineering, maritime engineering, transport engineering, and mining engineering (includes Civil engineering; Land transportation systems engineering; Marine engineering; Mining engineering)";0.9935368895530701;RDF204;"Mechanical engineering (includes Aerospace engineering; Automotive engineering; Manufacturing engineering; Other mechanical engineering)";0.9927250742912292
17;Discharges at/near gas-liquid and liquid-liquid interfaces: fundamental investigation and application in liquid processing and nanomaterial synthesis (Physics);RDF20-21;"Engineering and technology (includes Chemical engineering; Civil engineering, maritime engineering, transport engineering, and mining engineering; Electrical engineering, computer engineering, and information engineering; Environmental biotechnology; Environmental engineering and related engineering; Industrial biotechnology; Industrial, systems and processes engineering; Materials engineering and resources engineering; Mechanical engineering; Medical and biomedical engineering; Nano-technology; Other engineering and technologies)";0.3526497483253479;RDF10;"Natural sciences (includes Biological sciences; Chemical sciences; Computer and information sciences; Earth and related environmental sciences; Mathematics and statistics; Other natural sciences; Physical sciences)";0.24001699686050415;RDF30;"Medical, health and life sciences (includes Basic medicine and life sciences; Clinical medicine; Health sciences; Medical biotechnology; Other medical sciences)";0.1252509206533432;RDF604;"Arts (arts, history of arts, performing arts, music), architecture and design (includes Architecture; Art history and theory; Creative writing; Curatorial and related studies; Design practice and management; Music; Other Arts; Performing arts; Visual arts and media arts)";0.9985505938529968;RDF103;"Physical sciences (includes Astronomical and space sciences; Atomic, molecular, and optical physics; Classical physics; Condensed matter physics; Other physical sciences; Quantum physics; Subatomic physics)";0.9981541037559509;RDF508;"Media and communications (includes Communication and media studies; Film, television and digital media; Journalism and professional writing; Other media and communication)";0.9977481365203857;RDF102;"Computer and information sciences (includes Artificial intelligence (AI); Bioinformatics; Computing systems; Human-centered computing; Information Systems; Library science and information studies; Other computer and information sciences; Programming languages and software engineering; Theoretical computer science and computational mathematics)";0.9977038502693176;RDF201;"Civil engineering, maritime engineering, transport engineering, and mining engineering (includes Civil engineering; Land transportation systems engineering; Marine engineering; Mining engineering)";0.9969366192817688
18;Fully-Lagrangian three-dimensional modelling of river ice jam initiation;RDF20-21;"Engineering and technology (includes Chemical engineering; Civil engineering, maritime engineering, transport engineering, and mining engineering; Electrical engineering, computer engineering, and information engineering; Environmental biotechnology; Environmental engineering and related engineering; Industrial biotechnology; Industrial, systems and processes engineering; Materials engineering and resources engineering; Mechanical engineering; Medical and biomedical engineering; Nano-technology; Other engineering and technologies)";0.5729162096977234;RDF40;"Agricultural and veterinary sciences (includes Agricultural biotechnology and food sciences; Agriculture, forestry, and fisheries; Animal and dairy sciences; Other agricultural sciences; Veterinary sciences)";0.09593108296394348;RDF10;"Natural sciences (includes Biological sciences; Chemical sciences; Computer and information sciences; Earth and related environmental sciences; Mathematics and statistics; Other natural sciences; Physical sciences)";0.08578237891197205;RDF604;"Arts (arts, history of arts, performing arts, music), architecture and design (includes Architecture; Art history and theory; Creative writing; Curatorial and related studies; Design practice and management; Music; Other Arts; Performing arts; Visual arts and media arts)";0.9985277652740479;RDF102;"Computer and information sciences (includes Artificial intelligence (AI); Bioinformatics; Computing systems; Human-centered computing; Information Systems; Library science and information studies; Other computer and information sciences; Programming languages and software engineering; Theoretical computer science and computational mathematics)";0.9879112839698792;RDF201;"Civil engineering, maritime engineering, transport engineering, and mining engineering (includes Civil engineering; Land transportation systems engineering; Marine engineering; Mining engineering)";0.9565936326980591;RDF105;"Earth and related environmental sciences (includes Atmospheric sciences; Cryosphere processes; Environmental geoscience; Geochemistry; Geology; Geomatics and earth systems observations; Geophysics; Hydrology; Natural environment sciences; Oceanography; Other earth and related environmental sciences; Soil sciences)";0.9540517330169678;RDF203;"Electrical engineering, computer engineering, and information engineering (includes Communications and networks technologies; Computer engineering; Data analytics and signal processing; Electrical energy systems; Electromagnetics, photonics and optics; Electronics; Systems control and automation)";0.9375547170639038
19;Juger l'homosexualité, attribuer l'asile: le traitement des demandes d'asile OSIG au Canada (Political science and public administration);RDF20-21;"Engineering and technology (includes Chemical engineering; Civil engineering, maritime engineering, transport engineering, and mining engineering; Electrical engineering, computer engineering, and information engineering; Environmental biotechnology; Environmental engineering and related engineering; Industrial biotechnology; Industrial, systems and processes engineering; Materials engineering and resources engineering; Mechanical engineering; Medical and biomedical engineering; Nano-technology; Other engineering and technologies)";0.3007616698741913;RDF10;"Natural sciences (includes Biological sciences; Chemical sciences; Computer and information sciences; Earth and related environmental sciences; Mathematics and statistics; Other natural sciences; Physical sciences)";0.22747068107128143;RDF50;"Social sciences (includes Economics and business administration; Education; Law and legal practice; Media and communications; Other social sciences; Political science and policy administration; Psychology and cognitive sciences; Social and economic geography; Sociology and related studies)";0.22614173591136932;RDF604;"Arts (arts, history of arts, performing arts, music), architecture and design (includes Architecture; Art history and theory; Creative writing; Curatorial and related studies; Design practice and management; Music; Other Arts; Performing arts; Visual arts and media arts)";0.9978718757629395;RDF102;"Computer and information sciences (includes Artificial intelligence (AI); Bioinformatics; Computing systems; Human-centered computing; Information Systems; Library science and information studies; Other computer and information sciences; Programming languages and software engineering; Theoretical computer science and computational mathematics)";0.9967269897460938;RDF105;"Earth and related environmental sciences (includes Atmospheric sciences; Cryosphere processes; Environmental geoscience; Geochemistry; Geology; Geomatics and earth systems observations; Geophysics; Hydrology; Natural environment sciences; Oceanography; Other earth and related environmental sciences; Soil sciences)";0.9947289228439331;RDF508;"Media and communications (includes Communication and media studies; Film, television and digital media; Journalism and professional writing; Other media and communication)";0.9943908452987671;RDF201;"Civil engineering, maritime engineering, transport engineering, and mining engineering (includes Civil engineering; Land transportation systems engineering; Marine engineering; Mining engineering)";0.9926256537437439
