"Chemistry";"Chimie";"Electroactive Self-Assembled Monolayers: Putting Surface-Confined Redox Reactions to Work"
"Clinical Investigation – Arthritis, Bone, Skin and Cartilage";"Études cliniques - Arthrite, os, peau et cartilages";"Role of SCPPPQ1, a junctional epithelium protein, in maintaining periodontal integrity and health"
"Multidisciplinary or interdisciplinary social sciences";"Sciences sociales multi- ou interdisciplinaires";"What dreams may come: How cinema shapes the language, experience, and images of dreaming"
"Chemistry";"Chimie";"Supramolecular strategies to target cellular membranes"
;;"Geopolitics, bargaining, and firm selection along the Belt and Road"
"Movement & Exercise";"Mouvement et exercice";"Role of neuron-glia interactions in sensori-motor integration in mastication"
"Physics";"Physique";"Dual-Energy Cone-Beam CT as an online quantitative imaging modality for adaptive radiotherapy"
"Philosophy, medieval studies, classics, religious";"Philosophie, études classiques, religieuses et médiévales";"Le ""patient expert"": enjeux épistémiques et normatifs"
;;"Les données numériques en santé: peut-on bâtir la confiance"
;;"Role of ARF1 as a key GTPAse regulating immune surveillance in breast cancer"
"Chemistry";"Chimie";"Critical Replacement of Thermogravimetric Analyzer to Leverage Materials Discovery and Innovation"
;;"Partnering with Canadian Youth to Co-Design a Toolkit to Support Youth who Experience Climate-Related Distress"
;;"Family Acculturation: Identity, Legitimacy, and the Marketplace"
"Computer Science";"Sciences informatiques";"Low-Resource Text Understanding"
"Sociology, demography and related fields";"Sociologie, démographie et domaines connexes";"Privilège des minoritaires et inégalités épistémiques: une perspective féministe et décoloniale sur la reconnaissance des savoirs expérientiels dans la lutte contre la pauvreté au Québec et en Belgique francophone"
"Sociology, demography and related fields";"Sociologie, démographie et domaines connexes";"L'esthétique moyenne ou la coupe régulière"
